RGID,RGLB,RGPL,RGPU,RGSM
HMC7GDSX5.2,lib1,illumina,HMC7GDSX5.2,PS2_22_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS3_1_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS3_2_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS3_3_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS3_4_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS3_5_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS3_6_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS3_7_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS3_8_T1
H2HY2DSX7.1,lib1,illumina,H2HY2DSX7.1,PS4_1_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_2_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_3_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_4_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_5_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_6_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_7_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_8_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS4_9_T1
HH5MLDSX5.2,lib1,illumina,HH5MLDSX5.2,PS4_10_T1
H2HY2DSX7.1,lib1,illumina,H2HY2DSX7.1,PS4_11_T1
H2HY2DSX7.1,lib1,illumina,H2HY2DSX7.1,PS4_12_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS4_13_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_14_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS4_15_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS5_1_T1
H2HY2DSX7.1,lib1,illumina,H2HY2DSX7.1,PS5_2_T1
H2HY7DSX7.4,lib1,illumina,H2HY7DSX7.4,PS5_3_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS5_4_T1
HMC7GDSX5.1,lib1,illumina,HMC7GDSX5.1,PS5_5_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS6_1_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS6_2_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS6_3_T1
HH2NLDSX5.2,lib1,illumina,HH2NLDSX5.2,PS6_4_T1
